Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Michael Lorenzen","- - -","P",78,72,407.2,35,32,4,1,3,2,6,0,0,,16,,,,0.94366197,,"Michael Lorenzen",14843,547179
"Mike Yastrzemski","- - -","CF",63,51,419.2,103,2,0,0,0,0,1,0,0,,,,,,1,,"Mike Yastrzemski",14854,573262
"Mike Yastrzemski","- - -","RF",306,260,2288.2,463,20,5,3,2,0,1,0,0,,,,,,0.9897541,,"Mike Yastrzemski",14854,573262
"Tony Kemp","- - -","2B",62,48,429,106,101,4,2,2,20,4,16,1,,,,,,0.98104265,,"Tony Kemp",14894,643393
"Tony Kemp","- - -","LF",66,53,457.1,101,5,3,1,2,0,1,0,0,,,,,,0.97247706,,"Tony Kemp",14894,643393
"Victor Caratini","- - -","C",162,154,1371.1,1375,54,9,4,5,0,5,0,0,,148,26,1,47,0.99374131,,"Victor Caratini",14968,605170
"Ryan McMahon","- - -","3B",422,407,3563.2,294,867,37,17,20,74,78,0,6,,,,,,0.96911519,,"Ryan McMahon",15112,641857
"Trey Mancini","CHC","1B",51,40,348.2,305,24,2,2,0,32,2,1,31,3,,,,,0.9939577,,"Trey Mancini",15149,641820
"Mitch Garver","- - -","C",92,88,761.2,731,26,5,2,3,0,3,0,0,,75,15,2,24,0.99343832,,"Mitch Garver",15161,641598
"Tim Anderson","- - -","SS",197,190,1641,243,437,25,13,12,97,46,49,6,,,,,,0.96453901,,"Tim Anderson",15172,641313
"Jake Bauers","- - -","1B",130,98,894,694,52,6,4,2,71,2,1,69,18,,,,,0.99202128,,"Jake Bauers",15194,641343
"Jake Bauers","- - -","LF",48,43,319,62,1,2,1,1,0,0,0,0,,,,,,0.96923077,,"Jake Bauers",15194,641343
"Adam Frazier","- - -","2B",248,198,1793.1,286,487,8,5,3,96,37,60,7,,,,,,0.98975672,,"Adam Frazier",15223,624428
"Austin Wynns","- - -","C",92,76,676.2,566,38,3,1,2,1,2,0,3,,51,27,6,17,0.99505766,,"Austin Wynns",15271,642851
"Mike Tauchman","CHC","CF",96,70,647,159,3,3,3,0,0,1,0,0,,,,,,0.98181818,,"Mike Tauchman",15274,643565
"Mike Tauchman","- - -","RF",127,106,955.2,223,6,2,1,1,0,1,0,0,,,,,,0.99134199,,"Mike Tauchman",15274,643565
"Garrett Cooper","- - -","1B",97,86,752,671,37,4,3,1,57,4,0,63,13,,,,,0.99438202,,"Garrett Cooper",15279,643265
"Jeff McNeil","NYM","2B",283,245,2167,431,580,13,8,5,135,54,89,7,,,,,,0.98730469,,"Jeff McNeil",15362,643446
"Jeff McNeil","NYM","LF",57,41,346.1,70,3,1,1,0,0,0,0,0,,,,,,0.98648649,,"Jeff McNeil",15362,643446
"Jeff McNeil","NYM","RF",65,43,405.1,94,4,3,2,1,0,2,0,0,,,,,,0.97029703,,"Jeff McNeil",15362,643446
"Andrew Heaney","- - -","P",92,82,427.2,12,29,1,0,1,2,2,0,0,,26,,,,0.97619048,,"Andrew Heaney",15423,571760
"Kris Bryant","COL","RF",58,58,486,106,2,3,2,1,0,0,0,0,,,,,,0.97297297,,"Kris Bryant",15429,592178
"Nick Pivetta","- - -","P",94,71,459.2,26,25,2,0,2,0,0,0,0,,32,,,,0.96226415,,"Nick Pivetta",15454,601713
"Hunter Renfroe","- - -","RF",277,248,2228,478,18,8,6,2,0,5,0,0,,,,,,0.98412698,,"Hunter Renfroe",15464,592669
"Lucas Giolito","- - -","P",56,56,314.2,8,9,3,1,2,2,0,0,2,,23,,,,0.85,,"Lucas Giolito",15474,608337
"J.P. Crawford","SEA","SS",390,387,3411.1,455,887,27,14,13,162,85,74,9,,,,,,0.98027757,,"J.P. Crawford",15491,641487
"Amed Rosario","- - -","2B",79,52,490.1,91,113,3,2,1,34,10,24,0,,,,,,0.98550725,,"Amed Rosario",15518,642708
"Amed Rosario","- - -","3B",44,33,307.2,19,50,5,5,0,5,5,0,1,,,,,,0.93243243,,"Amed Rosario",15518,642708
"Amed Rosario","- - -","SS",119,106,955.2,107,244,12,5,7,38,26,14,0,,,,,,0.96694215,,"Amed Rosario",15518,642708
"Aaron Judge","NYY","CF",123,121,1037,292,4,0,0,0,0,2,0,0,,,,,,1,,"Aaron Judge",15640,592450
"Aaron Judge","NYY","RF",145,140,1223.2,276,3,2,1,1,0,0,0,0,,,,,,0.99288256,,"Aaron Judge",15640,592450
"Dominic Smith","- - -","1B",285,258,2267.1,1904,257,15,9,6,208,24,0,216,35,,,,,0.99310662,,"Dominic Smith",15653,642086
"Reese McGuire","- - -","C",147,125,1091,1097,35,8,4,4,1,3,0,3,,75,22,4,34,0.99298246,,"Reese McGuire",15674,624512
"José Abreu","HOU","1B",169,165,1459.1,1271,86,8,7,0,122,13,2,123,14,,,,,0.99413919,,"Jose Abreu",15676,547989
"Rowdy Tellez","- - -","1B",287,239,2068.1,1698,157,7,3,3,170,12,1,167,16,,,,,0.9962406,,"Rowdy Tellez",15679,642133
"Luis Castillo","SEA","P",92,92,533.2,31,17,1,0,1,1,1,0,0,,31,,,,0.97959184,,"Luis Castillo",15689,622491
"Tyler O'Neill","- - -","LF",129,105,948.2,180,7,5,3,2,0,0,0,0,,,,,,0.97395833,,"Tyler O'Neill",15711,641933
"Tyler O'Neill","- - -","RF",81,64,553.2,124,7,5,4,1,0,2,0,0,,,,,,0.96323529,,"Tyler O'Neill",15711,641933
"Zack Littell","- - -","P",86,72,417.2,35,28,3,1,2,5,2,0,3,,22,,,,0.95454545,,"Zack Littell",15823,641793
"Sean Manaea","- - -","P",80,52,349.1,9,29,4,2,2,1,1,0,0,,33,,,,0.9047619,,"Sean Manaea",15873,640455
"Miguel Andujar","- - -","LF",102,97,838.2,166,11,2,1,1,0,1,0,0,,,,,,0.98882682,,"Miguel Andujar",15878,609280
"Luis Severino","- - -","P",76,75,417.2,23,66,7,0,7,3,3,0,0,,33,,,,0.92708333,,"Luis Severino",15890,622663
"Luis Torrens","- - -","C",132,103,922.2,921,55,6,4,2,1,4,1,2,,44,31,8,44,0.99389002,,"Luis Torrens",15905,620443
"Austin Nola","- - -","C",64,55,476,423,22,1,0,1,4,1,1,2,,44,9,1,15,0.99775785,,"Austin Nola",15941,543592
"Willy Adames","- - -","SS",450,450,3939,545,1025,50,21,29,174,97,84,14,,,,,,0.9691358,,"Willy Adames",15986,642715
"Cody Bellinger","- - -","1B",88,60,581,544,33,3,2,1,35,5,0,36,9,,,,,0.99482759,,"Cody Bellinger",15998,641355
"Cody Bellinger","- - -","CF",169,162,1366,386,7,4,3,1,0,2,0,0,,,,,,0.98992443,,"Cody Bellinger",15998,641355
"Cody Bellinger","- - -","LF",74,50,487.2,101,3,1,1,0,0,1,0,0,,,,,,0.99047619,,"Cody Bellinger",15998,641355
"Cody Bellinger","- - -","RF",96,90,770.1,162,3,2,1,1,0,0,0,0,,,,,,0.98802395,,"Cody Bellinger",15998,641355
"Carlos Rodón","NYY","P",76,76,415.2,14,22,0,0,0,0,0,0,0,,40,,,,1,,"Carlos Rodon",16137,607074
"Aaron Nola","PHI","P",79,79,468,30,37,1,0,1,4,4,0,1,,38,,,,0.98529412,,"Aaron Nola",16149,605400
"Austin Slater","- - -","LF",84,45,419,94,3,0,0,0,0,1,0,0,,,,,,1,,"Austin Slater",16153,596103
"Austin Slater","- - -","RF",73,38,385.2,92,3,3,1,2,0,0,0,0,,,,,,0.96938776,,"Austin Slater",16153,596103
"J.D. Davis","- - -","3B",131,117,1020.2,66,220,9,5,4,13,13,0,4,,,,,,0.96949153,,"J.D. Davis",16219,605204
"Trea Turner","PHI","SS",409,409,3572.1,470,1001,48,27,21,151,86,62,18,,,,,,0.96840026,,"Trea Turner",16252,607208
"Kyle Freeland","COL","P",78,78,414,10,32,5,0,5,3,3,0,0,,27,,,,0.89361702,,"Kyle Freeland",16256,607536
"Nick Gordon","- - -","LF",73,62,539.1,118,3,3,0,2,0,0,0,0,,,,,,0.97580645,,"Nick Gordon",16337,624503
"Michael Conforto","- - -","LF",244,221,1865.2,349,10,6,3,3,0,3,0,0,,,,,,0.98356164,,"Michael Conforto",16376,624424
"Michael Conforto","SFG","RF",96,90,761,134,4,1,1,0,0,0,0,0,,,,,,0.99280576,,"Michael Conforto",16376,624424
"Francisco Mejía","TBR","C",50,42,381,375,19,6,3,3,2,1,2,0,,38,4,0,15,0.985,,"Francisco Mejia",16403,642336
"Thairo Estrada","- - -","2B",235,230,2004.2,323,668,11,7,4,151,55,99,6,,,,,,0.98902196,,"Thairo Estrada",16426,642731
"Christian Arroyo","BOS","2B",62,51,442,105,146,2,0,2,40,15,30,2,,,,,,0.99209486,,"Christian Arroyo",16434,624414
"Ryan O'Hearn","- - -","1B",188,159,1359,1138,76,11,8,3,88,8,0,83,14,,,,,0.99102041,,"Ryan O'Hearn",16442,656811
"Ryan O'Hearn","- - -","RF",62,45,379,76,0,1,1,0,0,0,0,0,,,,,,0.98701299,,"Ryan O'Hearn",16442,656811
"Luis Guillorme","- - -","2B",91,54,525.2,93,150,1,1,0,39,22,18,0,,,,,,0.99590164,,"Luis Guillorme",16451,641645
"Rhys Hoskins","MIL","1B",174,166,1445,1136,90,8,6,2,93,7,1,97,18,,,,,0.99351702,,"Rhys Hoskins",16472,656555
"Kyle Schwarber","PHI","LF",116,116,979.1,192,2,6,5,1,0,0,0,0,,,,,,0.97,,"Kyle Schwarber",16478,656941
"Matt Chapman","- - -","3B",404,402,3535,293,743,39,20,18,86,92,0,2,,,,,,0.96372093,,"Matt Chapman",16505,656305
"Jordan Montgomery","- - -","P",57,53,305.2,16,32,2,1,1,0,0,0,0,,28,,,,0.96,,"Jordan Montgomery",16511,656756
"Isiah Kiner-Falefa","- - -","2B",59,42,381,71,125,2,0,2,28,9,19,1,,,,,,0.98989899,,"Isiah Kiner-Falefa",16512,643396
"Isiah Kiner-Falefa","- - -","3B",108,96,831,65,187,8,6,2,21,20,1,0,,,,,,0.96923077,,"Isiah Kiner-Falefa",16512,643396
"Isiah Kiner-Falefa","- - -","SS",138,131,1153,173,303,7,1,6,52,28,24,5,,,,,,0.98550725,,"Isiah Kiner-Falefa",16512,643396
"Mauricio Dubón","HOU","2B",144,115,1062.2,164,306,7,2,5,81,33,49,2,,,,,,0.98532495,,"Mauricio Dubon",16530,643289
"Mauricio Dubón","HOU","CF",66,51,443.2,146,2,1,1,0,0,0,0,0,,,,,,0.99328859,,"Mauricio Dubon",16530,643289
"Mauricio Dubón","HOU","LF",120,64,631.1,139,2,8,4,4,0,0,0,0,,,,,,0.94630872,,"Mauricio Dubon",16530,643289
"Danny Jansen","- - -","C",242,215,1927,1906,66,18,3,13,0,1,0,3,,177,36,5,40,0.99095477,,"Danny Jansen",16535,643376
"Ozzie Albies","ATL","2B",393,393,3482.2,560,955,13,10,3,185,78,110,12,,,,,,0.99149215,,"Ozzie Albies",16556,645277
"Austin Gomber","COL","P",69,69,361.2,10,37,1,0,1,1,1,0,0,,26,,,,0.97916667,,"Austin Gomber",16561,596295
"Connor Joe","- - -","1B",138,90,826,693,67,2,0,2,80,4,1,80,8,,,,,0.99737533,,"Connor Joe",16572,656582
"Connor Joe","- - -","RF",117,83,742.1,166,6,4,3,1,0,1,0,0,,,,,,0.97727273,,"Connor Joe",16572,656582
"Yandy Díaz","TBR","1B",264,259,2223.1,1875,126,13,10,3,151,16,1,148,27,,,,,0.99354518,,"Yandy Diaz",16578,650490
"Luis Urías","- - -","2B",126,114,985,153,229,6,4,2,47,22,28,4,,,,,,0.98453608,,"Luis Urias",16622,649966
"Luis Urías","- - -","3B",66,48,425.1,43,83,8,1,7,8,9,0,1,,,,,,0.94029851,,"Luis Urias",16622,649966
"Jose Trevino","- - -","C",208,188,1638,1648,65,13,6,7,0,3,3,1,,139,38,10,54,0.99246813,,"Jose Trevino",16725,624431
