,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Alexander Canario,CIN,186,150,32,23,3,0,6,36,32,0,0,0,19,0.213,0.366,0.353,0.719
Jared Triolo,PIT,189,157,34,24,3,0,7,32,22,0,0,0,22,0.217,0.349,0.369,0.718
Travis Blankenhorn,WSN,159,124,29,24,2,1,2,35,21,0,0,0,15,0.234,0.403,0.315,0.718
Kolten Wong,KCR,166,147,37,25,8,1,3,19,23,0,0,0,19,0.252,0.337,0.381,0.718
Matt Thaiss,SEA,496,419,101,77,11,1,12,77,81,0,0,0,64,0.241,0.359,0.358,0.717
Alejandro Kirk,TOR,388,325,72,46,15,0,11,63,44,0,0,0,49,0.222,0.348,0.369,0.717
Brett Wisely,KCR,166,136,34,27,5,0,2,30,25,0,0,0,16,0.25,0.386,0.331,0.717
Daniel Vogelbach,TOR,448,362,79,56,11,0,12,86,83,0,0,0,44,0.218,0.368,0.348,0.716
Romy Gonzalez,KCR,317,267,62,39,17,0,6,50,53,0,0,0,27,0.232,0.353,0.363,0.716
Drew Gilbert,SFG,162,141,35,22,11,0,2,21,23,0,0,0,19,0.248,0.346,0.369,0.715
Austin Martin,MIN,355,282,65,46,14,2,3,73,54,0,0,0,24,0.23,0.389,0.326,0.715
Mark Canha,BOS,247,205,48,35,7,1,5,42,34,0,0,0,22,0.234,0.364,0.351,0.715
Ha-Seong Kim,SFG,161,137,31,20,6,1,4,24,27,0,0,0,23,0.226,0.342,0.372,0.714
Patrick Bailey,SFG,168,140,33,23,7,0,3,28,24,0,0,0,10,0.236,0.363,0.35,0.713
Michael Massey,KCR,226,186,36,19,8,1,8,40,21,0,0,0,36,0.194,0.336,0.376,0.712
Roman Anthony,BOS,348,292,64,42,11,1,10,56,66,0,0,0,32,0.219,0.345,0.366,0.711
Michael A. Taylor,TEX,304,265,61,41,9,2,9,39,61,0,0,0,42,0.23,0.329,0.381,0.71
Ke'Bryan Hayes,CHC,214,187,45,29,11,1,4,27,42,0,0,0,31,0.241,0.336,0.374,0.71
Corey Julks,PIT,174,146,31,18,8,0,5,28,29,0,0,0,18,0.212,0.339,0.37,0.709
Rafael Ortega,MIA,226,185,47,35,12,0,0,41,28,0,0,0,14,0.254,0.389,0.319,0.708
Everson Pereira,CHC,317,273,63,41,14,0,8,44,43,0,0,0,32,0.231,0.338,0.37,0.708
Nathan Lukes,TOR,331,277,63,40,17,0,6,54,46,0,0,0,32,0.227,0.353,0.354,0.707
Shea Langeliers,OAK,269,230,48,29,8,1,10,39,39,0,0,0,33,0.209,0.323,0.383,0.706
Brandon Dixon,SDP,327,283,67,46,13,0,8,44,51,0,0,0,45,0.237,0.339,0.367,0.706
Gavin Lux,SFG,165,133,31,21,9,0,1,32,21,0,0,0,15,0.233,0.382,0.323,0.705
Trea Turner,PHI,326,277,63,42,12,2,7,49,53,0,0,0,37,0.227,0.344,0.361,0.705
Wil Myers,CIN,164,140,32,23,4,0,5,24,30,0,0,0,25,0.229,0.341,0.364,0.705
Cristian Pache,CIN,196,171,43,31,9,0,3,25,35,0,0,0,17,0.251,0.347,0.357,0.704
Eloy Jiménez,TBR,324,271,64,47,11,0,6,53,44,0,0,0,37,0.236,0.361,0.343,0.704
Kyle Isbel,KCR,212,187,45,32,7,0,6,25,35,0,0,0,25,0.241,0.33,0.374,0.704
Tony Kemp,TBR,208,173,39,26,9,0,4,35,32,0,0,0,27,0.225,0.356,0.347,0.703
Whit Merrifield,LAA,162,132,30,21,6,1,2,30,28,0,0,0,20,0.227,0.37,0.333,0.703
Tyler Heineman,LAA,161,143,32,19,7,1,5,18,30,0,0,0,20,0.224,0.311,0.392,0.703
Christian Koss,SFG,162,141,33,20,9,2,2,21,26,0,0,0,16,0.234,0.333,0.369,0.702
George Springer,TOR,357,302,63,38,12,2,11,55,58,0,0,0,45,0.209,0.331,0.371,0.702
Shay Whitcomb,HOU,316,275,67,47,14,0,6,41,39,0,0,0,37,0.244,0.342,0.36,0.702
Joshua Palacios,BAL,343,285,59,35,14,0,10,58,58,0,0,0,38,0.207,0.341,0.361,0.702
Andrew McCutchen,PIT,290,247,56,40,7,1,8,43,55,0,0,0,36,0.227,0.341,0.36,0.701
Eduardo Escobar,CLE,174,142,30,21,4,0,5,32,29,0,0,0,15,0.211,0.356,0.345,0.701
Eric Wagaman,NYM,328,271,59,39,11,3,6,57,50,0,0,0,30,0.218,0.354,0.347,0.701
Coco Montes,DET,160,136,28,12,12,1,3,24,22,0,0,0,19,0.206,0.325,0.375,0.7
Kyle McCann,OAK,186,153,34,26,3,0,5,33,42,0,0,0,14,0.222,0.36,0.34,0.7
Jose Iglesias,SFG,132,110,26,19,5,0,2,22,15,0,0,0,12,0.236,0.364,0.336,0.7
Zach Remillard,CHW,179,151,38,28,9,0,1,28,33,0,0,0,21,0.252,0.369,0.331,0.7
Jean Segura,MIA,301,256,61,43,13,0,5,45,34,0,0,0,40,0.238,0.352,0.348,0.7
Nolan Jones,NYM,323,274,64,44,14,0,6,49,54,0,0,0,38,0.234,0.35,0.35,0.7
Luis Rengifo,LAA,165,138,32,21,9,0,2,27,37,0,0,0,10,0.232,0.358,0.341,0.699
Chad Wallach,LAA,167,148,30,15,7,1,7,19,28,0,0,0,26,0.203,0.293,0.405,0.698
Matthew Batten,SDP,296,251,60,43,12,1,4,45,38,0,0,0,28,0.239,0.355,0.343,0.698
Jesús Aguilar,OAK,163,142,32,19,9,0,4,21,24,0,0,0,16,0.225,0.325,0.373,0.698
Adam Duvall,HOU,312,264,57,36,11,3,7,48,49,0,0,0,30,0.216,0.337,0.36,0.697
Brandon Nimmo,NYM,325,265,62,47,11,0,4,60,49,0,0,0,24,0.234,0.375,0.321,0.696
Zach DeLoach,CHW,171,139,29,19,6,0,4,32,25,0,0,0,16,0.209,0.357,0.338,0.695
Lars Nootbaar,STL,326,276,61,40,12,2,7,50,53,0,0,0,44,0.221,0.34,0.355,0.695
Aaron Schunk,COL,162,134,30,18,10,1,1,28,20,0,0,0,16,0.224,0.358,0.336,0.694
Tyler Nevin,WSN,164,136,29,19,6,0,4,28,31,0,0,0,18,0.213,0.348,0.346,0.694
Michael Conforto,NYM,281,237,48,30,6,3,9,44,51,0,0,0,38,0.203,0.327,0.367,0.694
Santiago Espinal,ARI,297,255,58,38,13,1,6,42,43,0,0,0,37,0.227,0.337,0.357,0.694
Josh Lowe,TBR,319,272,63,47,8,0,8,47,42,0,0,0,39,0.232,0.345,0.349,0.694
Bobby Witt Jr.,KCR,325,273,52,28,11,0,13,52,54,0,0,0,44,0.19,0.32,0.374,0.694
David Hamilton,BOS,200,165,37,25,9,0,3,35,39,0,0,0,25,0.224,0.36,0.333,0.693
Mike Moustakas,SFG,187,166,41,29,8,1,3,21,25,0,0,0,19,0.247,0.332,0.361,0.693
Brayan Rocchio,CLE,203,169,37,24,9,0,4,34,36,0,0,0,21,0.219,0.35,0.343,0.693
