Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
5,bottom,strike,called strike,NA,fastball,strike,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,1,3,4,George Kirby
5,bottom,ball,ball,NA,fastball,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,3,2,1,3,4,George Kirby
5,bottom,strikeout,strikeout looking,NA,fastball,strike,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,3,3,2,3,4,George Kirby
5,bottom,ball,ball,NA,fastball,ball,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,4,George Kirby
5,bottom,ball,ball,NA,slider,ball,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,2,3,4,George Kirby
5,bottom,strike,called strike,NA,curveball,strike,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,2,3,4,George Kirby
5,bottom,ball,ball,NA,fastball,ball,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,2,3,4,George Kirby
5,bottom,strike,called strike,NA,fastball,strike,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,3,2,2,3,4,George Kirby
5,bottom,walk,walk,NA,fastball,ball,Elehuris Montero,4,"[1, 0, 0]","['Elehuris Montero', 0, 0]",None,safe,4,2,2,3,4,George Kirby
5,bottom,strike,called strike,NA,slider,strike,Wilyer Abreu,5,"[1, 0, 0]","['Elehuris Montero', 0, 0]",None,safe,0,1,2,3,4,George Kirby
5,bottom,out,ground out,medium,slider,strike,Wilyer Abreu,5,"[1, 0, 0]","['Elehuris Montero', 0, 0]",None,safe,0,1,3,3,4,George Kirby
6,top,ball,ball,NA,fastball,ball,Owen Miller,5,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,4,Fernando Cruz
6,top,ball,ball,NA,fastball,ball,Owen Miller,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,3,4,Fernando Cruz
6,top,out,fly out,medium,slider,strike,Owen Miller,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,3,4,Fernando Cruz
6,top,ball,ball,NA,fastball,ball,Jordan Lawlar,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,4,Fernando Cruz
6,top,strike,called strike,NA,slider,strike,Jordan Lawlar,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,3,4,Fernando Cruz
6,top,strike,called strike,NA,fastball,strike,Jordan Lawlar,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,1,3,4,Fernando Cruz
6,top,strikeout,strikeout looking,NA,fastball,strike,Jordan Lawlar,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,3,2,3,4,Fernando Cruz
6,top,ball,ball,NA,fastball,ball,Mike Tauchman,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,4,Fernando Cruz
6,top,out,ground out,medium,fastball,strike,Mike Tauchman,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,3,3,4,Fernando Cruz
6,bottom,ball,ball,NA,fastball,ball,Brandon Marsh,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,4,George Kirby
6,bottom,ball,ball,NA,slider,ball,Brandon Marsh,6,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,3,4,George Kirby
6,bottom,out,ground out,medium,fastball,strike,Brandon Marsh,6,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,3,4,George Kirby
6,bottom,ball,ball,NA,slider,ball,Jerar Encarnacion,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,4,George Kirby
6,bottom,out,ground out,hard,slider,strike,Jerar Encarnacion,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,4,George Kirby
6,bottom,double,line drive double,medium,fastball,strike,Jasson Domínguez,8,"[0, 1, 0]","[0, 'Jasson Domínguez', 0]",None,safe,0,0,2,3,4,George Kirby
6,bottom,ball,ball,NA,slider,ball,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jasson Domínguez', 0]",None,safe,1,0,2,3,4,George Kirby
6,bottom,strike,swinging strike,NA,curveball,strike,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jasson Domínguez', 0]",None,safe,1,1,2,3,4,George Kirby
6,bottom,foul,foul,NA,curveball,strike,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jasson Domínguez', 0]",None,safe,1,2,2,3,4,George Kirby
6,bottom,foul,foul,NA,slider,strike,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jasson Domínguez', 0]",None,safe,1,2,2,3,4,George Kirby
6,bottom,ball,ball,NA,changeup,ball,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jasson Domínguez', 0]",None,safe,2,2,2,3,4,George Kirby
