,Inning,Inning Half,Event,Batter,Bases,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
166,6,bottom,strike,16,"[1, 1, 0]",2,2,1,1,1,1
167,6,bottom,strike,16,"[1, 1, 0]",2,3,2,1,1,1
168,6,bottom,strike,17,"[1, 1, 0]",0,1,2,1,1,1
169,6,bottom,triple,17,"[0, 0, 1]",0,1,2,1,3,1
170,6,bottom,ball,18,"[0, 0, 1]",1,0,2,1,3,1
171,6,bottom,ball,18,"[0, 0, 1]",2,0,2,1,3,1
172,6,bottom,ground_out,18,"[0, 0, 1]",2,0,3,1,3,1
173,7,top,ball,8,"[0, 0, 0]",1,0,0,1,3,2
174,7,top,ground_out,8,"[0, 0, 0]",1,0,1,1,3,2
175,7,top,ball,1,"[0, 0, 0]",1,0,1,1,3,2
176,7,top,strike,1,"[0, 0, 0]",1,1,1,1,3,2
177,7,top,strike,1,"[0, 0, 0]",1,2,1,1,3,2
178,7,top,fly_out,1,"[0, 0, 0]",1,2,2,1,3,2
179,7,top,ground_out,2,"[0, 0, 0]",0,0,3,1,3,2
180,7,bottom,strike,10,"[0, 0, 0]",0,1,0,1,3,1
181,7,bottom,strike,10,"[0, 0, 0]",0,2,0,1,3,1
182,7,bottom,fly_out,10,"[0, 0, 0]",0,2,1,1,3,1
183,7,bottom,strike,11,"[0, 0, 0]",0,1,1,1,3,1
184,7,bottom,strike,11,"[0, 0, 0]",0,2,1,1,3,1
185,7,bottom,double,11,"[0, 1, 0]",0,2,1,1,3,1
186,7,bottom,ground_out,12,"[0, 1, 0]",0,0,2,1,3,1
187,7,bottom,ball,13,"[0, 1, 0]",1,0,2,1,3,1
188,7,bottom,fly_out,13,"[0, 1, 0]",1,0,3,1,3,1
189,8,top,ball,3,"[0, 0, 0]",1,0,0,1,3,2
190,8,top,ball,3,"[0, 0, 0]",2,0,0,1,3,2
191,8,top,strike,3,"[0, 0, 0]",2,1,0,1,3,2
192,8,top,ball,3,"[0, 0, 0]",3,1,0,1,3,2
193,8,top,ball,3,"[1, 0, 0]",4,1,0,1,3,2
194,8,top,strike,4,"[1, 0, 0]",0,1,0,1,3,2
195,8,top,strike,4,"[1, 0, 0]",0,2,0,1,3,2
196,8,top,ball,4,"[1, 0, 0]",1,2,0,1,3,2
197,8,top,ball,4,"[1, 0, 0]",2,2,0,1,3,2
198,8,top,ball,4,"[1, 0, 0]",3,2,0,1,3,2
199,8,top,strike,4,"[1, 0, 0]",3,3,1,1,3,2
200,8,top,ground_out,5,"[1, 0, 0]",0,0,2,1,3,2
201,8,top,strike,6,"[1, 0, 0]",0,1,2,1,3,2
202,8,top,strike,6,"[1, 0, 0]",0,2,2,1,3,2
203,8,top,ball,6,"[1, 0, 0]",1,2,2,1,3,2
204,8,top,strike,6,"[1, 0, 0]",1,3,3,1,3,2
205,8,bottom,strike,14,"[0, 0, 0]",0,1,0,1,3,1
206,8,bottom,strike,14,"[0, 0, 0]",0,2,0,1,3,1
207,8,bottom,ball,14,"[0, 0, 0]",1,2,0,1,3,1
208,8,bottom,strike,14,"[0, 0, 0]",1,3,1,1,3,1
209,8,bottom,strike,15,"[0, 0, 0]",0,1,1,1,3,1
210,8,bottom,strike,15,"[0, 0, 0]",0,2,1,1,3,1
211,8,bottom,fly_out,15,"[0, 0, 0]",0,2,2,1,3,1
212,8,bottom,strike,16,"[0, 0, 0]",0,1,2,1,3,1
213,8,bottom,ball,16,"[0, 0, 0]",1,1,2,1,3,1
214,8,bottom,strike,16,"[0, 0, 0]",1,2,2,1,3,1
215,8,bottom,ground_out,16,"[0, 0, 0]",1,2,3,1,3,1
216,9,top,ball,7,"[0, 0, 0]",1,0,0,1,3,2
217,9,top,ball,7,"[0, 0, 0]",2,0,0,1,3,2
218,9,top,ball,7,"[0, 0, 0]",3,0,0,1,3,2
219,9,top,ball,7,"[1, 0, 0]",4,0,0,1,3,2
220,9,top,ball,8,"[1, 0, 0]",1,0,0,1,3,2
221,9,top,strike,8,"[1, 0, 0]",1,1,0,1,3,2
222,9,top,ball,8,"[1, 0, 0]",2,1,0,1,3,2
223,9,top,strike,8,"[1, 0, 0]",2,2,0,1,3,2
224,9,top,ball,8,"[1, 0, 0]",3,2,0,1,3,2
225,9,top,strike,8,"[1, 0, 0]",3,3,1,1,3,2
226,9,top,strike,1,"[1, 0, 0]",0,1,1,1,3,2
227,9,top,ball,1,"[1, 0, 0]",1,1,1,1,3,2
228,9,top,ball,1,"[1, 0, 0]",2,1,1,1,3,2
229,9,top,ground_out,1,"[1, 0, 0]",2,1,2,1,3,2
230,9,top,strike,2,"[1, 0, 0]",0,1,2,1,3,2
