,Team,W,L,IP,H,R,BB,SO,BF,RA9,WHIP,K/9
Jordan Lyles,KCR,0,0,204.33333333333334,203,127,157,130,973,5.59,1.76,5.73
Erasmo Ramírez,PHI,0,0,201.66666666666666,200,109,139,134,944,4.86,1.68,5.98
Luke Jackson,CHC,0,0,201.0,202,131,138,132,943,5.87,1.69,5.91
Daniel Hudson,LAD,0,0,200.33333333333334,195,132,167,135,963,5.93,1.81,6.06
José Cisnero,BAL,0,0,200.0,197,134,159,150,956,6.03,1.78,6.75
Tyler Glasnow,COL,0,0,199.33333333333334,220,113,150,161,968,5.1,1.86,7.27
Alex Young,OAK,0,0,197.66666666666666,187,117,181,154,961,5.33,1.86,7.01
Brad Keller,SEA,0,0,197.33333333333334,183,128,186,169,961,5.84,1.87,7.71
Will Smith,LAA,0,0,197.0,206,122,173,147,970,5.57,1.92,6.72
Isaac Mattson,PIT,0,0,195.66666666666666,212,121,125,129,924,5.57,1.72,5.93
Kolby Allard,MIA,0,0,194.33333333333334,196,121,126,146,905,5.6,1.66,6.76
Patrick Corbin,TEX,0,0,187.66666666666666,172,115,143,139,878,5.52,1.68,6.67
Trevor Megill,MIL,0,0,182.0,175,108,124,153,845,5.34,1.64,7.57
Michael Fulmer,ARI,0,0,165.33333333333334,168,129,152,116,816,7.02,1.94,6.31
Ryan Thompson,HOU,0,0,158.0,129,79,105,106,708,4.5,1.48,6.04
Ian Gibaut,CIN,0,0,149.66666666666666,144,87,83,102,676,5.23,1.52,6.13
Huascar Brazobán,ATL,0,0,144.33333333333334,137,94,92,113,662,5.86,1.59,7.05
Ryan Helsley,CLE,0,0,139.33333333333334,136,82,88,112,642,5.3,1.61,7.23
Drew VerHagen,STL,0,0,130.0,138,96,102,106,630,6.65,1.85,7.34
Kyle Gibson,NYM,0,0,126.66666666666667,145,114,111,109,636,8.1,2.02,7.74
Tyler Gilbert,TBR,0,0,126.33333333333333,112,72,102,95,593,5.13,1.69,6.77
Taylor Clarke,KCR,0,0,126.33333333333333,128,85,95,83,602,6.06,1.77,5.91
Nick Anderson,OAK,0,0,124.0,106,62,84,93,562,4.5,1.53,6.75
Shawn Armstrong,CHW,0,0,123.0,108,73,96,97,573,5.34,1.66,7.1
Sean Hjelle,SFG,0,0,121.33333333333333,137,110,117,107,618,8.16,2.09,7.94
Alex Cobb,BAL,0,0,121.0,124,73,97,87,584,5.43,1.83,6.47
