Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
5,bottom,walk,walk,NA,curveball,ball,Leo Jiménez,6,"[1, 1, 1]","['Leo Jiménez', 'Marcelo Mayer', 'Griffin Conine']",None,safe,4,2,2,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,slider,ball,Jonathan Davis,7,"[1, 1, 1]","['Leo Jiménez', 'Marcelo Mayer', 'Griffin Conine']",None,safe,1,0,2,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,slider,ball,Jonathan Davis,7,"[1, 1, 1]","['Leo Jiménez', 'Marcelo Mayer', 'Griffin Conine']",None,safe,2,0,2,5,0,Clarke Schmidt
5,bottom,out,ground out,hard,slider,strike,Jonathan Davis,7,"[1, 1, 1]","['Leo Jiménez', 'Marcelo Mayer', 'Griffin Conine']",None,safe,2,0,3,5,0,Clarke Schmidt
6,top,ball,ball,NA,fastball,ball,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,5,0,Mike Clevinger
6,top,out,fly out,medium,slider,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,5,0,Mike Clevinger
6,top,ball,ball,NA,changeup,ball,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,5,0,Mike Clevinger
6,top,ball,ball,NA,slider,ball,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,5,0,Mike Clevinger
6,top,ball,ball,NA,fastball,ball,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,1,5,0,Mike Clevinger
6,top,out,fly out,medium,fastball,strike,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,2,5,0,Mike Clevinger
6,top,strike,called strike,NA,fastball,strike,Bryan Reynolds,9,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,2,5,0,Mike Clevinger
6,top,ball,ball,NA,fastball,ball,Bryan Reynolds,9,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,2,5,0,Mike Clevinger
6,top,out,line out,hard,changeup,strike,Bryan Reynolds,9,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,3,5,0,Mike Clevinger
